TILED WITH    NAIVE     
INTRINSICS    APPROACH
2.61133ms    1.06005ms
3.04709ms    0.764973ms
3.03066ms    0.76367ms
2.82601ms    0.842976ms
2.86448ms    0.760495ms
2.85017ms    0.79571ms
2.8358ms     0.764111ms
2.97149ms    0.760695ms
3.01131ms    0.799145ms
3.05808ms    0.935075ms
2.83065ms    0.76345ms
2.82836ms    0.79646ms
2.91317ms    0.761186ms
2.88924ms    0.808693ms
3.0743ms     0.882158ms
2.81603ms    0.990616ms
2.9277ms     0.763841ms
2.90557ms    0.80702ms
2.88719ms    0.95428ms
2.94523ms    0.759392ms
2.81457ms    0.762659ms
2.81238ms    0.854747ms
2.87272ms    0.952316ms
2.95362ms    0.826575ms
3.06507ms    0.931959ms
2.85115ms    0.900121ms
2.93482ms    0.760324ms
2.82576ms    0.758521ms
2.96755ms    0.759272ms
2.8029ms     0.759944ms
2.82714ms    0.898598ms
2.87395ms    0.950162ms
2.83632ms    0.932009ms
2.99442ms    0.767998ms
2.95723ms    0.806489ms
2.88258ms    0.759723ms
2.98063ms    0.760384ms
2.85384ms    0.759172ms
3.04696ms    0.758671ms
2.86776ms    0.99265ms
3.27989ms    0.760605ms
3.22527ms    0.761045ms
2.83266ms    0.78515ms
3.03926ms    0.759112ms
2.81915ms    0.764502ms
2.85389ms    0.917402ms
2.8929ms     0.814764ms
3.04479ms    0.909869ms
2.90539ms    0.82884ms
3.05817ms    0.955161ms
3.03152ms    0.766205ms
2.90236ms    0.892777ms
2.80693ms    0.828158ms
2.83898ms    0.950323ms
2.97366ms    0.769882ms
2.9314ms     0.759633ms
2.91963ms    0.759803ms
2.92518ms    0.759824ms
2.84747ms    0.928182ms
3.18763ms    0.760264ms
3.04939ms    0.760214ms
3.04485ms    0.906172ms
2.91015ms    0.78544ms
2.95506ms    0.792072ms
2.88213ms    0.766676ms
3.07778ms    0.863534ms
2.84288ms    0.760354ms
2.83474ms    0.765454ms
2.80353ms    0.773548ms
3.03436ms    0.770082ms
3.02278ms    0.776183ms
2.85614ms    0.835743ms
2.8496ms     0.759302ms
2.88174ms    0.961783ms
2.8394ms     0.879603ms
2.78321ms    0.77429ms
2.88183ms    0.874914ms
2.9201ms     0.760194ms
2.92338ms    0.791111ms
2.86753ms    0.918294ms
2.84962ms    0.767097ms
3.02714ms    0.870346ms
2.87007ms    0.765534ms
2.82677ms    0.82386ms
2.79822ms    0.761336ms
2.98213ms    0.759783ms
2.92436ms    0.81266ms
2.83342ms    0.75835ms
2.83577ms    0.766295ms
2.82665ms    0.760655ms
2.84612ms    1.05653ms
3.00166ms    0.759032ms
2.95199ms    0.761817ms
2.9474ms     0.758521ms
2.84071ms    0.848196ms
3.02638ms    0.958858ms
2.86123ms    0.865077ms
2.88538ms    0.984565ms
2.9889ms     0.770623ms
2.97802ms    0.793886ms
Average: 2.91824   0.822958
